sku,category_name,category_id
DEALBMNL0004,1 Rupee,220
DEALCDGD0150,1 Rupee,220
DEALNSKL0098,1 Rupee,220
DEALBEPS0061,Flash Deal,222
DEALCDPI0058,Flash Deal,222
DEALBEPS0026,Flash Deal,222
DEALANCH0020,Flash Deal,222
DEALNSBP0119,Flash Deal,222
DEALNSNL0045,Flash Deal,222
DEALCCTL0083,Flash Deal,222
DEALLGSE0187,Flash Deal,222
DEALCDEG0148,Flash Deal,222
DEALCDMD0024,Flash Deal,222
PCCG0085,Bachat Bazar,31
SSPM0242,Bachat Bazar,31
SSPM0246,Bachat Bazar,31
SNKR0434-3,Snacks,23
SNMO0504,Snacks,23
SNPR0276,Snacks,23
CCVL0041,Chai aur Coffee,20
ANCH0020,Anaaj Bazaar,124
BNL00086,Delist - Deal Dhamaka Sale,223
BNL00087,Delist - Deal Dhamaka Sale,223
CDQI0004-12,Delist - Deal Dhamaka Sale,223
NSYS0140,Bachat Bazar,31
BNL00114,Delist - Deal Dhamaka Sale,223
BNL00009,Delist - Deal Dhamaka Sale,223
BNL00088,Delist - Deal Dhamaka Sale,223
NSKO0058,Bachat Bazar,31
DDOS0013,Delist - Deal Dhamaka Sale,223
NSKO0056,Bachat Bazar,31
NSYS0140,Delist - Deal Dhamaka Sale,223
CDFA0093,Delist - Deal Dhamaka Sale,223
LGLM0100,Delist - Deal Dhamaka Sale,223
DDOS0013-12,Delist - Deal Dhamaka Sale,223
SSPM0246,Delist - Deal Dhamaka Sale,223
CCTL0054FOC,Delist - Deal Dhamaka Sale,223
ANCD0051,Delist - Deal Dhamaka Sale,223
BEGY0115,Bachat Bazar,31
BEOA0041,Bachat Bazar,31
BEOA0041,Delist - Deal Dhamaka Sale,223
BEPS0021,Bachat Bazar,31
BEPS0043,Bachat Bazar,31
BEPS0043,Delist - Deal Dhamaka Sale,223
BEPS0017,Bachat Bazar,31
BSLE0123,Delist - Deal Dhamaka Sale,223
BSNO0114,Delist - Deal Dhamaka Sale,223
BSNO0090,Delist - Deal Dhamaka Sale,223
BSNO0116,Delist - Deal Dhamaka Sale,223
BSNO0139,Delist - Deal Dhamaka Sale,223
BSNO0107,Delist - Deal Dhamaka Sale,223
BSNO0065,Delist - Deal Dhamaka Sale,223
LGCK0153,Bachat Bazar,31
LGDX0166,Bachat Bazar,31
LGHC0143,Bachat Bazar,31
LGHC0143,Delist - Deal Dhamaka Sale,223
GSRP0034,Bachat Bazar,31
ANAD0049,Delist - Deal Dhamaka Sale,223
ANBP0169,Delist - Deal Dhamaka Sale,223
ANCH0020,Bachat Bazar,31
ANCH0020,Delist - Deal Dhamaka Sale,223
ANCD0051,Bachat Bazar,31
ANDS0042,Bachat Bazar,31
OGDA0072,Delist - Deal Dhamaka Sale,223
OGML0084-5,Delist - Deal Dhamaka Sale,223
OGML0083-5,Delist - Deal Dhamaka Sale,223
ANMG0058,Bachat Bazar,31
ANMG0194,Delist - Deal Dhamaka Sale,223
OGSS0046-5,Bachat Bazar,31
OGSS0040,Bachat Bazar,31
OGSS0040,Delist - Deal Dhamaka Sale,223
OGSS0077,Delist - Deal Dhamaka Sale,223
LGBS0087,Bachat Bazar,31
LGLM0100,Bachat Bazar,31
NSBP0119,Delist - Deal Dhamaka Sale,223
NSKO0152,Delist - Deal Dhamaka Sale,223
NSKO0147,Delist - Deal Dhamaka Sale,223
